"P1","P2","Rounds","Rounds","P1 Mean","P2 Mean","0-00","0-01","0-01","0-11","1-00","1-01","1-00","1-11","cov(p1,p2)",,,,,,,,,,,,,,,,,,,,,
9992,2222,431,431,0.495349,0.488372,0.000000,0.000000,0.000000,0.000000,0.166667,0.010101,0.500000,0.009524,0.009810,,,,,,,,,,,,,,,,,,,,,
5983,2222,2806,2806,0.511586,0.511943,0.000000,0.000000,0.000000,0.000000,0.050000,0.001473,0.050000,0.001399,"-1.341662823361618E-4",,,,,,,,,,,,,,,,,,,,,
2222,4205,851,851,0.494118,0.496471,0.000000,0.000000,0.000000,0.000000,0.009259,0.009174,0.009009,0.010989,-0.006203,,,,,,,,,,,,,,,,,,,,,
2222,4231,103,103,0.470588,0.500000,0.000000,0.000000,0.000000,0.000000,0.076923,0.083333,0.076923,0.111111,0.012088,,,,,,,,,,,,,,,,,,,,,
2222,4379,189,189,0.500000,0.047872,0.000000,0.000000,0.000000,0.000000,0.025641,0.200000,0.020000,"NaN",-0.007852,,,,,,,,,,,,,,,,,,,,,
2222,6699,1990,1990,0.489693,0.535948,0.000000,0.000000,0.000000,0.000000,0.004405,0.003774,0.004444,0.003891,0.003142,,,,,,,,,,,,,,,,,,,,,
2222,7373,1551,1551,0.518065,0.654194,0.000000,0.000000,0.000000,0.000000,0.007752,0.003906,0.007407,0.003546,0.006465,,,,,,,,,,,,,,,,,,,,,
2222,7389,910,910,0.510451,0.503850,0.000000,0.000000,0.000000,0.000000,0.009091,0.008475,0.008850,0.008130,-0.001683,,,,,,,,,,,,,,,,,,,,,
2222,7506,439,439,0.493151,0.027397,0.000000,0.000000,0.000000,0.000000,0.008772,0.250000,0.010638,0.250000,0.002502,,,,,,,,,,,,,,,,,,,,,
2222,8322,826,826,0.516364,0.340606,0.000000,0.000000,0.000000,0.000000,0.007937,0.012048,0.006623,0.015385,-0.010815,,,,,,,,,,,,,,,,,,,,,
2676,3333,1244,1244,0.036203,0.031376,0.000000,0.000000,0.000000,0.000000,0.023810,1.000000,1.000000,"NaN","-3.3046798405475785E-4",,,,,,,,,,,,,,,,,,,,,
4035,3333,1737,1737,0.369816,0.028802,0.000000,0.000000,0.000000,0.000000,0.002500,0.100000,0.004425,0.200000,"-8.526141527980065E-4",,,,,,,,,,,,,,,,,,,,,
6152,3333,1149,1149,0.042683,0.021777,0.000000,"NaN",0.000000,0.000000,0.041667,0.041667,"NaN","NaN","-5.761713715607927E-5",,,,,,,,,,,,,,,,,,,,,
6612,3333,558,558,0.075404,0.035907,0.000000,"NaN",0.000000,"NaN",0.050000,0.052632,1.000000,1.000000,"-9.073183915368424E-4",,,,,,,,,,,,,,,,,,,,,
7025,3333,1364,1364,0.060895,0.030814,0.000000,0.000000,0.000000,"NaN",0.026316,0.027778,0.333333,0.200000,0.001793,,,,,,,,,,,,,,,,,,,,,
8200,3333,377,377,0.082447,0.021277,0.000000,"NaN",0.000000,"NaN",0.111111,0.125000,0.076923,"NaN",-0.001750,,,,,,,,,,,,,,,,,,,,,
9177,3333,697,697,0.063218,0.031609,0.000000,"NaN",0.000000,"NaN",0.055556,0.050000,0.333333,0.500000,"8.781477267105328E-4",,,,,,,,,,,,,,,,,,,,,
5396,3333,108,108,0.065421,0.009346,0.000000,0.000000,0.000000,"NaN",1.000000,"NaN",0.200000,"NaN","-6.057459328487367E-4",,,,,,,,,,,,,,,,,,,,,
1194,3333,230,230,0.087336,0.021834,0.000000,"NaN",0.000000,"NaN",0.090909,0.200000,0.333333,"NaN",-0.001899,,,,,,,,,,,,,,,,,,,,,
8608,3333,125,125,0.096774,0.024194,0.000000,0.000000,0.000000,"NaN",0.500000,"NaN",0.111111,"NaN",-0.002323,,,,,,,,,,,,,,,,,,,,,
7812,3333,972,972,0.029866,0.030896,0.000000,0.000000,0.000000,0.000000,0.038462,1.000000,1.000000,"NaN",0.001138,,,,,,,,,,,,,,,,,,,,,
2476,3333,15,15,0.071429,0.000000,0.000000,"NaN",0.000000,"NaN","NaN","NaN","NaN","NaN",0.000000,,,,,,,,,,,,,,,,,,,,,
6780,3333,153,154,0.368421,0.032895,0.000000,"NaN",0.000000,0.000000,0.020408,"NaN",0.200000,0.500000,0.020855,,,,,,,,,,,,,,,,,,,,,
8650,3333,1659,1659,0.096502,0.031363,0.000000,0.000000,0.000000,0.000000,0.010204,0.021277,0.090909,0.333333,"-6.122251621633207E-4",,,,,,,,,,,,,,,,,,,,,
8582,3333,434,434,0.043880,0.039261,0.000000,0.000000,0.000000,0.000000,0.066667,1.000000,0.500000,"NaN",0.002900,,,,,,,,,,,,,,,,,,,,,
9008,3333,345,345,0.363372,0.017442,0.000000,"NaN",0.000000,0.000000,0.013333,0.333333,0.022222,1.000000,0.002401,,,,,,,,,,,,,,,,,,,,,
1365,3333,967,967,0.052795,0.027950,0.000000,0.000000,0.000000,"NaN",0.038462,0.043478,"NaN",1.000000,"-4.389148312533049E-4",,,,,,,,,,,,,,,,,,,,,
4400,3333,87,87,0.058140,0.000000,0.000000,"NaN",0.000000,"NaN",0.250000,"NaN","NaN","NaN",0.000000,,,,,,,,,,,,,,,,,,,,,
9784,3333,867,868,0.222864,0.023095,0.000000,0.000000,0.000000,0.000000,0.006803,"NaN",0.022727,0.500000,0.016799,,,,,,,,,,,,,,,,,,,,,
1378,3333,599,599,0.065217,0.040134,0.000000,0.000000,0.000000,"NaN",0.066667,0.052632,1.000000,0.333333,0.002404,,,,,,,,,,,,,,,,,,,,,
7334,3333,860,860,0.111758,0.023283,0.000000,0.000000,0.000000,0.000000,0.016393,0.333333,0.032258,1.000000,"8.93413108806889E-4",,,,,,,,,,,,,,,,,,,,,
1513,3333,52,52,0.137255,0.039216,0.000000,"NaN",0.000000,0.000000,0.250000,"NaN",0.500000,"NaN",0.014329,,,,,,,,,,,,,,,,,,,,,
4678,3333,1218,1218,0.033689,0.030403,0.000000,0.000000,0.000000,0.000000,0.026316,"NaN",0.500000,"NaN","-2.0171273677634834E-4",,,,,,,,,,,,,,,,,,,,,
1281,3333,847,847,0.130024,0.036643,0.000000,0.000000,0.000000,"NaN",0.026316,0.038462,0.022727,1.000000,-0.003577,,,,,,,,,,,,,,,,,,,,,
7558,3333,1191,1191,0.055462,0.031933,0.000000,0.000000,0.000000,"NaN",0.034483,0.028571,"NaN",1.000000,"-9.292381940181608E-4",,,,,,,,,,,,,,,,,,,,,
4100,3333,1682,1683,0.031529,0.030934,0.000000,0.000000,0.000000,0.000000,0.019608,1.000000,1.000000,"NaN",0.001405,,,,,,,,,,,,,,,,,,,,,
7170,3333,90,90,0.044944,0.033708,0.000000,0.000000,0.000000,0.000000,0.250000,"NaN","NaN","NaN",0.009738,,,,,,,,,,,,,,,,,,,,,
8655,3333,50,50,0.040816,0.020408,0.000000,"NaN",0.000000,"NaN","NaN",1.000000,"NaN","NaN","-8.16326530612245E-4",,,,,,,,,,,,,,,,,,,,,
4166,3333,122,122,0.041322,0.024793,0.000000,"NaN",0.000000,"NaN",1.000000,0.333333,"NaN","NaN",-0.001016,,,,,,,,,,,,,,,,,,,,,
5209,3333,273,273,0.062500,0.040441,0.000000,0.000000,0.000000,0.000000,0.090909,"NaN",0.200000,"NaN",0.001158,,,,,,,,,,,,,,,,,,,,,
9992,3333,1460,1460,0.063057,0.029472,0.000000,0.000000,0.000000,0.000000,0.020000,0.026316,1.000000,0.500000,"1.990479499000072E-4",,,,,,,,,,,,,,,,,,,,,
5983,3333,807,807,0.060794,0.032258,0.000000,0.000000,0.000000,"NaN",0.045455,0.045455,0.500000,0.500000,"5.227214724756402E-4",,,,,,,,,,,,,,,,,,,,,
4205,3333,581,581,0.053448,0.022414,0.000000,"NaN",0.000000,"NaN",0.066667,0.083333,0.500000,1.000000,"5.282212594219244E-4",,,,,,,,,,,,,,,,,,,,,
4231,3333,1240,1240,0.065375,0.036320,0.000000,"NaN",0.000000,"NaN",0.032258,0.023810,0.250000,0.333333,"4.881668358978631E-5",,,,,,,,,,,,,,,,,,,,,
4379,3333,415,415,0.031401,0.028986,0.000000,0.000000,0.000000,"NaN",0.125000,"NaN",0.250000,"NaN","-9.079797450672257E-4",,,,,,,,,,,,,,,,,,,,,
6699,3333,1237,1237,0.065534,0.031553,0.000000,0.000000,0.000000,"NaN",0.027027,0.031250,0.142857,0.250000,0.001170,,,,,,,,,,,,,,,,,,,,,
7373,3333,1422,1422,0.099226,0.038001,0.000000,0.000000,0.000000,"NaN",0.026316,0.021739,0.020408,0.142857,0.001158,,,,,,,,,,,,,,,,,,,,,
7389,3333,2160,2160,0.069940,0.034738,0.000000,0.000000,0.000000,"NaN",0.013699,0.014706,0.200000,0.250000,"-5.757552364777944E-4",,,,,,,,,,,,,,,,,,,,,
7506,3333,466,466,0.025806,0.015054,0.000000,0.000000,0.000000,0.000000,0.111111,"NaN",0.500000,"NaN",0.001763,,,,,,,,,,,,,,,,,,,,,
8322,3333,487,487,0.030864,0.022634,0.000000,0.000000,0.000000,0.000000,0.071429,"NaN","NaN","NaN",0.001360,,,,,,,,,,,,,,,,,,,,,
4035,2676,895,895,0.428412,0.176734,0.000000,0.000000,0.000000,0.000000,0.005102,0.032258,0.007463,0.047619,-0.001805,,,,,,,,,,,,,,,,,,,,,
2676,6152,1320,1320,0.378317,0.353298,0.000000,0.000000,0.000000,0.000000,0.006410,0.017241,0.023810,0.004132,0.074176,,,,,,,,,,,,,,,,,,,,,
2676,6612,211,211,0.942857,0.923810,"NaN","NaN",0.000000,0.000000,"NaN",0.083333,0.083333,0.005780,"-2.256826901376665E-4",,,,,,,,,,,,,,,,,,,,,
7025,2676,809,809,0.896040,0.929455,0.000000,0.000000,0.000000,0.000000,"NaN",0.013514,"NaN",0.001541,0.001121,,,,,,,,,,,,,,,,,,,,,
2676,8200,3118,3118,0.401989,0.433750,0.000000,0.000000,0.000000,0.000000,0.002915,0.002915,0.004219,0.003040,0.013053,,,,,,,,,,,,,,,,,,,,,
9177,2676,624,624,0.906902,0.922953,0.000000,"NaN",0.000000,0.000000,1.000000,0.021277,0.333333,0.001949,0.011825,,,,,,,,,,,,,,,,,,,,,
2676,5396,1414,1414,0.040340,0.034678,0.000000,0.000000,0.000000,0.000000,0.021277,"NaN",0.333333,0.166667,0.004264,,,,,,,,,,,,,,,,,,,,,
2676,1194,350,350,0.822350,0.739255,0.000000,0.000000,0.000000,0.000000,0.090909,0.030303,0.030303,0.004762,0.024183,,,,,,,,,,,,,,,,,,,,,
2676,8608,1518,1518,0.562294,0.646012,0.000000,0.000000,0.000000,0.000000,0.005952,0.010526,0.012658,0.001961,0.085244,,,,,,,,,,,,,,,,,,,,,
7812,2676,195,195,0.036082,0.046392,0.000000,0.000000,0.000000,0.000000,0.200000,"NaN","NaN",1.000000,0.008644,,,,,,,,,,,,,,,,,,,,,
2476,2676,185,185,0.875000,0.918478,0.000000,0.000000,0.000000,0.000000,"NaN",0.052632,"NaN",0.007092,0.005024,,,,,,,,,,,,,,,,,,,,,
2676,6780,496,495,0.757576,0.822222,0.000000,0.000000,0.000000,0.000000,0.083333,0.030303,0.166667,0.003096,0.119774,,,,,,,,,,,,,,,,,,,,,
8650,2676,81,81,0.950000,0.962500,"NaN","NaN",0.000000,0.000000,"NaN",0.250000,"NaN",0.014085,0.009414,,,,,,,,,,,,,,,,,,,,,
2676,8582,365,365,0.373626,0.434066,0.000000,0.000000,0.000000,0.000000,0.025641,0.037037,0.045455,0.021277,0.047057,,,,,,,,,,,,,,,,,,,,,
9008,2676,990,990,0.431749,0.358948,0.000000,0.000000,0.000000,0.000000,0.006667,0.007519,0.012048,0.016667,0.013027,,,,,,,,,,,,,,,,,,,,,
2676,1365,839,839,0.924821,0.892601,0.000000,0.000000,0.000000,0.000000,0.200000,0.020000,0.021277,0.001488,0.003650,,,,,,,,,,,,,,,,,,,,,
4400,2676,2032,2032,0.890202,0.918759,0.000000,0.000000,0.000000,0.000000,1.000000,0.005319,0.125000,"6.211180124223603E-4",0.005761,,,,,,,,,,,,,,,,,,,,,
9784,2676,2133,2134,0.867730,0.870075,0.000000,0.000000,0.000000,0.000000,0.006757,0.016949,0.027027,"6.230529595015577E-4",0.085889,,,,,,,,,,,,,,,,,,,,,
2676,1378,1488,1488,0.930733,0.900471,0.000000,0.000000,0.000000,0.000000,0.125000,0.012195,0.012821,"8.230452674897119E-4",0.004429,,,,,,,,,,,,,,,,,,,,,
7334,2676,1022,1022,0.639569,0.652302,0.000000,0.000000,0.000000,0.000000,0.071429,0.004608,0.013699,0.002865,0.017105,,,,,,,,,,,,,,,,,,,,,
2676,1513,852,852,0.069330,0.029377,0.000000,0.000000,0.000000,0.000000,0.020833,0.250000,0.250000,0.500000,0.003841,,,,,,,,,,,,,,,,,,,,,
4678,2676,785,785,0.844388,0.878827,0.000000,0.000000,0.000000,0.000000,0.333333,0.011111,0.166667,0.001779,0.016528,,,,,,,,,,,,,,,,,,,,,
2676,1281,103,103,0.431373,0.578431,0.000000,0.000000,0.000000,0.000000,0.083333,0.071429,0.500000,0.066667,0.017609,,,,,,,,,,,,,,,,,,,,,
7558,2676,2994,2994,0.912462,0.935516,0.000000,0.000000,0.000000,0.000000,"NaN",0.004292,0.166667,"4.014452027298274E-4",0.002659,,,,,,,,,,,,,,,,,,,,,
4100,2676,38,39,0.702703,0.594595,0.000000,0.000000,0.000000,0.000000,0.166667,0.333333,0.333333,0.071429,0.079659,,,,,,,,,,,,,,,,,,,,,
2676,7170,512,512,0.086106,0.060665,0.000000,0.000000,0.000000,0.000000,0.027027,0.500000,"NaN",0.250000,0.008485,,,,,,,,,,,,,,,,,,,,,
8655,2676,710,710,0.889986,0.923836,0.000000,0.000000,0.000000,0.000000,"NaN",0.016393,0.250000,0.001770,0.012525,,,,,,,,,,,,,,,,,,,,,
4166,2676,898,898,0.930881,0.954292,0.000000,0.000000,0.000000,0.000000,"NaN",0.017241,"NaN",0.001289,"5.958987270113432E-5",,,,,,,,,,,,,,,,,,,,,
5209,2676,1604,1604,0.038054,0.044292,0.000000,0.000000,0.000000,0.000000,0.020000,0.500000,0.500000,0.166667,0.003306,,,,,,,,,,,,,,,,,,,,,
9992,2676,1338,1338,0.894540,0.902767,0.000000,0.000000,0.000000,0.000000,0.500000,0.010000,0.047619,"9.328358208955224E-4",0.017275,,,,,,,,,,,,,,,,,,,,,
5983,2676,1776,1776,0.903662,0.933521,0.000000,0.000000,0.000000,0.000000,1.000000,0.006667,1.000000,"6.891798759476223E-4",0.003085,,,,,,,,,,,,,,,,,,,,,
2676,4205,1662,1662,0.930163,0.901866,0.000000,0.000000,0.000000,0.000000,0.200000,0.010101,0.010638,"7.423904974016332E-4","8.759022553939703E-4",,,,,,,,,,,,,,,,,,,,,
2676,4231,1757,1757,0.918565,0.890661,0.000000,0.000000,0.000000,0.000000,0.058824,0.010204,0.010638,"7.127583749109052E-4",0.011493,,,,,,,,,,,,,,,,,,,,,
2676,4379,2939,2939,0.035398,0.030633,0.000000,0.000000,0.000000,0.000000,0.010870,0.500000,0.500000,0.142857,0.002660,,,,,,,,,,,,,,,,,,,,,
2676,6699,1830,1830,0.919628,0.904866,0.000000,0.000000,0.000000,0.000000,0.062500,0.010204,0.011494,"6.756756756756757E-4",0.010305,,,,,,,,,,,,,,,,,,,,,
2676,7373,1612,1612,0.435754,0.599007,0.000000,0.000000,0.000000,0.000000,0.005587,0.004484,0.019608,0.004032,0.009161,,,,,,,,,,,,,,,,,,,,,
2676,7389,957,957,0.927824,0.902720,0.000000,0.000000,0.000000,0.000000,0.125000,0.020408,0.020833,0.001280,0.010590,,,,,,,,,,,,,,,,,,,,,
2676,7506,1294,1294,0.043310,0.036350,0.000000,0.000000,0.000000,0.000000,0.021739,1.000000,1.000000,0.142857,0.006161,,,,,,,,,,,,,,,,,,,,,
2676,8322,1207,1207,0.262023,0.402156,0.000000,0.000000,0.000000,0.000000,0.004444,0.021739,0.066667,0.034483,-0.030660,,,,,,,,,,,,,,,,,,,,,
4035,6152,1344,1344,0.912882,0.936709,0.000000,0.000000,0.000000,0.000000,0.076923,0.011905,0.017241,"9.345794392523365E-4",0.006291,,,,,,,,,,,,,,,,,,,,,
4035,6612,928,928,0.803668,0.785329,0.000000,0.000000,0.000000,0.000000,0.027778,0.009174,0.008000,0.002110,0.002762,,,,,,,,,,,,,,,,,,,,,
4035,7025,1956,1956,0.803581,0.788235,0.000000,0.000000,0.000000,0.000000,0.015625,0.004016,0.003623,0.001019,-0.002396,,,,,,,,,,,,,,,,,,,,,
4035,8200,372,372,0.865229,0.913747,"NaN",0.000000,0.000000,0.000000,0.166667,0.029412,0.052632,0.003831,0.006673,,,,,,,,,,,,,,,,,,,,,
4035,9177,628,628,0.797448,0.775120,0.000000,0.000000,0.000000,0.000000,0.052632,0.011364,0.010000,0.003425,-0.006288,,,,,,,,,,,,,,,,,,,,,
4035,5396,260,260,0.355212,0.088803,0.000000,0.000000,0.000000,0.000000,0.020000,0.250000,0.037037,0.100000,0.026492,,,,,,,,,,,,,,,,,,,,,
4035,1194,571,571,0.691228,0.594737,0.000000,0.000000,0.000000,0.000000,0.022222,0.012195,0.008197,0.006944,-0.008624,,,,,,,,,,,,,,,,,,,,,
4035,8608,1432,1432,0.728861,0.665968,0.000000,0.000000,0.000000,0.000000,0.010638,0.005376,0.003831,0.001996,-0.007770,,,,,,,,,,,,,,,,,,,,,
7812,4035,760,760,0.028986,0.357049,0.000000,0.000000,0.000000,0.000000,0.076923,0.166667,1.000000,1.000000,"2.0456279037514804E-4",,,,,,,,,,,,,,,,,,,,,
4035,2476,299,299,0.838926,0.815436,0.000000,0.000000,0.000000,0.000000,0.200000,0.026316,0.023256,0.006135,-0.007306,,,,,,,,,,,,,,,,,,,,,
4035,6780,3,2,1.000000,1.000000,"NaN","NaN","NaN","NaN","NaN","NaN","NaN",1.000000,0.333333,,,,,,,,,,,,,,,,,,,,,
4035,8650,304,304,0.778878,0.762376,0.000000,0.000000,0.000000,0.000000,0.200000,0.020000,0.018519,0.007937,-0.014287,,,,,,,,,,,,,,,,,,,,,
4035,8582,1358,1358,0.643331,0.504053,0.000000,0.000000,0.000000,0.000000,0.005263,0.007813,0.003788,0.003448,0.022318,,,,,,,,,,,,,,,,,,,,,
4035,9008,1564,1564,0.609725,0.437620,0.000000,0.000000,0.000000,0.000000,0.004202,0.006452,0.003257,0.003968,"1.374496222589854E-4",,,,,,,,,,,,,,,,,,,,,
4035,1365,301,301,0.796667,0.773333,0.000000,0.000000,0.000000,0.000000,0.071429,0.033333,0.027027,0.006369,0.019291,,,,,,,,,,,,,,,,,,,,,
4400,4035,1260,1260,0.773630,0.790310,0.000000,0.000000,0.000000,0.000000,1.000000,0.004367,0.100000,0.001364,-0.005680,,,,,,,,,,,,,,,,,,,,,
4035,9784,3389,3388,0.850354,0.855077,0.000000,0.000000,0.000000,0.000000,0.003106,0.010638,0.011494,"4.2069835927639884E-4",0.094230,,,,,,,,,,,,,,,,,,,,,
4035,1378,630,630,0.825119,0.804452,0.000000,0.000000,0.000000,0.000000,0.045455,0.015873,0.013333,0.002793,0.012961,,,,,,,,,,,,,,,,,,,,,
4035,7334,601,601,0.785000,0.773333,0.000000,0.000000,0.000000,0.000000,0.045455,0.013699,0.011905,0.003436,0.015610,,,,,,,,,,,,,,,,,,,,,
4035,1513,61,61,0.483333,0.200000,0.000000,0.000000,0.000000,0.000000,0.125000,0.500000,0.090909,0.142857,0.054918,,,,,,,,,,,,,,,,,,,,,
4035,4678,24,24,0.652174,0.695652,"NaN",0.000000,0.000000,0.000000,0.333333,0.500000,"NaN",0.111111,0.043478,,,,,,,,,,,,,,,,,,,,,
4035,1281,40,40,0.769231,0.794872,"NaN",0.000000,"NaN",0.000000,0.500000,0.250000,0.166667,0.058824,0.019231,,,,,,,,,,,,,,,,,,,,,
4035,7558,79,79,0.871795,0.846154,"NaN",0.000000,0.000000,0.000000,0.500000,0.166667,0.125000,0.019608,0.015255,,,,,,,,,,,,,,,,,,,,,
4035,4100,413,412,0.740291,0.689320,0.000000,0.000000,0.000000,0.000000,0.027778,0.034483,0.021277,0.005208,0.063753,,,,,,,,,,,,,,,,,,,,,
4035,7170,2727,2727,0.918562,0.964417,0.000000,0.000000,0.000000,0.000000,0.166667,0.005000,0.012658,"4.508566275924256E-4","3.617260723382171E-4",,,,,,,,,,,,,,,,,,,,,
4035,8655,516,516,0.844660,0.827184,"NaN",0.000000,0.000000,0.000000,0.090909,0.016949,0.015385,0.003344,-0.004132,,,,,,,,,,,,,,,,,,,,,
4035,4166,2657,2657,0.820783,0.798569,0.000000,0.000000,0.000000,0.000000,0.011905,0.003268,0.002809,"6.978367062107466E-4","6.679899878021654E-4",,,,,,,,,,,,,,,,,,,,,
4035,5209,1176,1176,0.381277,0.029787,0.000000,0.000000,0.000000,0.000000,0.003891,0.090909,0.005848,0.125000,"5.673758865248226E-4",,,,,,,,,,,,,,,,,,,,,
4035,9992,113,113,0.892857,0.875000,0.000000,0.000000,0.000000,0.000000,1.000000,0.250000,0.166667,0.011364,0.047092,,,,,,,,,,,,,,,,,,,,,
4035,5983,1990,1990,0.812469,0.792358,0.000000,0.000000,0.000000,0.000000,0.016129,0.004032,0.003623,"9.70873786407767E-4",-0.003925,,,,,,,,,,,,,,,,,,,,,
4035,4205,1105,1105,0.797101,0.783514,0.000000,0.000000,0.000000,0.000000,0.025000,0.006944,0.006289,0.001866,0.001930,,,,,,,,,,,,,,,,,,,,,
4035,4231,954,954,0.840504,0.824764,0.000000,0.000000,0.000000,0.000000,0.037037,0.010870,0.009174,0.001748,0.008454,,,,,,,,,,,,,,,,,,,,,
4035,4379,455,455,0.405286,0.057269,0.000000,0.000000,0.000000,0.000000,0.010526,0.200000,0.013699,0.100000,0.012083,,,,,,,,,,,,,,,,,,,,,
4035,6699,201,201,0.865000,0.860000,"NaN",0.000000,0.000000,0.000000,0.333333,0.050000,0.050000,0.007752,"-1.9900497512437686E-4",,,,,,,,,,,,,,,,,,,,,
4035,7373,321,321,0.753125,0.746875,0.000000,0.000000,0.000000,0.000000,0.083333,0.020000,0.019608,0.007874,-0.016988,,,,,,,,,,,,,,,,,,,,,
4035,7389,171,171,0.876471,0.852941,"NaN",0.000000,0.000000,0.000000,0.200000,0.090909,0.066667,0.008547,0.015617,,,,,,,,,,,,,,,,,,,,,
4035,7506,3159,3159,0.368271,0.038949,0.000000,0.000000,0.000000,0.000000,0.001458,0.062500,0.002392,0.023810,0.005927,,,,,,,,,,,,,,,,,,,,,
4035,8322,1519,1519,0.660079,0.521739,0.000000,0.000000,0.000000,0.000000,0.007092,0.005747,0.003367,0.002571,0.022768,,,,,,,,,,,,,,,,,,,,,
6152,6612,1552,1552,0.941328,0.911025,0.000000,0.000000,0.000000,0.000000,0.333333,0.017544,0.010989,"7.645259938837921E-4",0.015964,,,,,,,,,,,,,,,,,,,,,
7025,6152,1994,1994,0.904165,0.929252,0.000000,0.000000,0.000000,0.000000,1.000000,0.008403,1.000000,"5.952380952380953E-4",0.028262,,,,,,,,,,,,,,,,,,,,,
6152,8200,161,161,0.956250,0.925000,0.000000,"NaN",0.000000,0.000000,"NaN",0.200000,0.142857,0.007143,0.014713,,,,,,,,,,,,,,,,,,,,,
9177,6152,323,323,0.928571,0.956522,0.000000,0.000000,0.000000,0.000000,1.000000,0.050000,"NaN",0.003610,0.005855,,,,,,,,,,,,,,,,,,,,,
6152,5396,377,377,0.337766,0.045213,0.000000,"NaN",0.000000,"NaN",0.125000,0.111111,0.009901,0.125000,0.006046,,,,,,,,,,,,,,,,,,,,,
1194,6152,597,597,0.803691,0.880872,0.000000,0.000000,0.000000,0.000000,0.250000,0.015152,0.500000,0.002463,0.049948,,,,,,,,,,,,,,,,,,,,,
6152,8608,143,143,0.908451,0.845070,0.000000,0.000000,0.000000,0.000000,"NaN",0.111111,0.083333,0.009346,0.012312,,,,,,,,,,,,,,,,,,,,,
7812,6152,15,15,0.142857,0.285714,0.000000,0.000000,"NaN",0.000000,"NaN","NaN","NaN",1.000000,0.104762,,,,,,,,,,,,,,,,,,,,,
2476,6152,2510,2510,0.922280,0.948187,0.000000,0.000000,0.000000,0.000000,1.000000,0.006098,0.125000,"4.6728971962616824E-4",0.007481,,,,,,,,,,,,,,,,,,,,,
6152,6780,2279,2278,0.085162,0.037313,0.000000,0.000000,0.000000,0.000000,0.009174,0.500000,0.017857,0.038462,0.010432,,,,,,,,,,,,,,,,,,,,,
8650,6152,1641,1641,0.939024,0.958537,0.000000,0.000000,0.000000,0.000000,1.000000,0.011364,0.200000,"6.920415224913495E-4",0.001069,,,,,,,,,,,,,,,,,,,,,
6152,8582,865,865,0.280093,0.393519,0.000000,0.000000,0.000000,0.000000,0.100000,0.008696,0.015625,0.019231,0.005647,,,,,,,,,,,,,,,,,,,,,
9008,6152,1135,1135,0.401235,0.077601,0.000000,0.000000,0.000000,0.000000,0.004237,0.027027,0.006098,0.058824,0.005928,,,,,,,,,,,,,,,,,,,,,
6152,1365,177,177,0.988636,0.977273,"NaN","NaN","NaN",0.000000,"NaN",0.500000,0.250000,0.005988,0.005200,,,,,,,,,,,,,,,,,,,,,
4400,6152,406,406,0.913580,0.962963,"NaN",0.000000,0.000000,0.000000,"NaN",0.029412,"NaN",0.002976,-0.001034,,,,,,,,,,,,,,,,,,,,,
9784,6152,183,184,0.956044,0.961538,0.000000,0.000000,"NaN",0.000000,0.500000,0.250000,0.250000,0.006135,0.019816,,,,,,,,,,,,,,,,,,,,,
6152,1378,2968,2968,0.959218,0.936973,0.000000,0.000000,0.000000,0.000000,0.200000,0.009009,0.006494,"3.883495145631068E-4","-2.4528574426508254E-4",,,,,,,,,,,,,,,,,,,,,
7334,6152,490,490,0.762781,0.830266,0.000000,0.000000,0.000000,0.000000,0.111111,0.011494,0.025000,0.004219,0.003973,,,,,,,,,,,,,,,,,,,,,
6152,1513,525,525,0.950382,0.958015,0.000000,0.000000,0.000000,0.000000,1.000000,0.047619,0.083333,0.002160,0.007285,,,,,,,,,,,,,,,,,,,,,
4678,6152,1282,1282,0.917252,0.954723,0.000000,0.000000,0.000000,0.000000,1.000000,0.010638,0.250000,"9.302325581395349E-4",0.003962,,,,,,,,,,,,,,,,,,,,,
6152,1281,809,809,0.918317,0.798267,0.000000,0.000000,0.000000,0.000000,0.333333,0.018519,0.008929,0.001748,-0.001958,,,,,,,,,,,,,,,,,,,,,
7558,6152,87,87,0.941860,0.953488,0.000000,"NaN",0.000000,0.000000,"NaN",0.250000,1.000000,0.013333,0.019246,,,,,,,,,,,,,,,,,,,,,
4100,6152,4620,4621,0.549903,0.285776,0.000000,0.000000,0.000000,0.000000,0.002849,0.022222,"9.242144177449168E-4","9.416195856873823E-4",0.082980,,,,,,,,,,,,,,,,,,,,,
6152,7170,4152,4152,0.964828,0.967478,0.000000,0.000000,0.000000,0.000000,0.500000,0.007634,0.009434,"2.656042496679947E-4",0.001008,,,,,,,,,,,,,,,,,,,,,
8655,6152,1906,1906,0.935958,0.959055,0.000000,"NaN",0.000000,0.000000,1.000000,0.008475,1.000000,"6.016847172081829E-4","-5.150195679894937E-5",,,,,,,,,,,,,,,,,,,,,
4166,6152,1546,1546,0.900971,0.926861,0.000000,0.000000,0.000000,0.000000,0.500000,0.009901,0.500000,"7.776049766718507E-4",0.023718,,,,,,,,,,,,,,,,,,,,,
5209,6152,9,9,0.750000,1.000000,"NaN",0.000000,"NaN",0.000000,"NaN","NaN","NaN",0.200000,0.083333,,,,,,,,,,,,,,,,,,,,,
9992,6152,1214,1214,0.936521,0.948887,"NaN",0.000000,0.000000,0.000000,0.076923,0.026316,0.022727,"9.615384615384616E-4",0.008205,,,,,,,,,,,,,,,,,,,,,
