"P1","P2","Rounds","Rounds","P1 Mean","P2 Mean","0-00","0-01","0-01","0-11","1-00","1-01","1-00","1-11","cov(p1,p2)",,,,,,,,,,,,,,,,,,,,,
4205,1111,2963,2963,0.944294,0.968940,0.000000,0.000000,0.000000,0.000000,1.000000,0.006289,0.500000,"3.7965072133637056E-4","-4.0859550025374553E-4",,,,,,,,,,,,,,,,,,,,,
1111,4231,1388,1388,0.962509,0.935833,"NaN",0.000000,0.000000,0.000000,0.200000,0.023256,0.012821,"8.278145695364238E-4",0.001848,,,,,,,,,,,,,,,,,,,,,
4379,1111,1128,1128,0.053239,0.971606,0.000000,0.000000,0.000000,0.000000,"NaN",0.027778,"NaN",0.043478,"6.702033264739759E-4",,,,,,,,,,,,,,,,,,,,,
1111,6699,1106,1106,0.971041,0.948416,"NaN",0.000000,0.000000,0.000000,0.333333,0.037037,0.018868,0.001011,0.002054,,,,,,,,,,,,,,,,,,,,,
7373,1111,2614,2614,0.036739,0.968236,0.000000,0.000000,0.000000,0.000000,"NaN",0.012821,0.500000,0.066667,"-7.329019079752761E-4",,,,,,,,,,,,,,,,,,,,,
7389,1111,272,272,0.926199,0.981550,0.000000,"NaN",0.000000,0.000000,"NaN",0.052632,"NaN",0.004329,0.005671,,,,,,,,,,,,,,,,,,,,,
1111,7506,596,596,0.949580,0.063866,0.000000,"NaN",0.000000,0.000000,0.037037,0.500000,0.002000,0.028571,"-3.9478878799843135E-5",,,,,,,,,,,,,,,,,,,,,
8322,1111,934,934,0.090032,0.041801,0.000000,0.000000,0.000000,"NaN",0.025000,1.000000,0.023810,1.000000,-0.002688,,,,,,,,,,,,,,,,,,,,,
2222,3333,2026,2026,0.487901,0.027160,0.000000,0.000000,0.000000,0.000000,0.002037,0.090909,0.002114,0.076923,"5.820628130598506E-4",,,,,,,,,,,,,,,,,,,,,
2222,2676,414,414,0.489104,0.070218,0.000000,0.000000,0.000000,0.000000,0.009615,0.125000,0.012346,0.125000,0.002059,,,,,,,,,,,,,,,,,,,,,
4035,2222,644,644,0.623639,0.499222,0.000000,0.000000,0.000000,0.000000,0.013889,0.013889,0.008065,0.007576,0.009522,,,,,,,,,,,,,,,,,,,,,
2222,6152,1740,1740,0.502588,0.036803,0.000000,0.000000,0.000000,0.000000,0.002381,0.083333,0.002347,0.066667,-0.001810,,,,,,,,,,,,,,,,,,,,,
2222,6612,96,96,0.568421,0.600000,0.000000,0.000000,0.000000,0.000000,0.090909,0.071429,0.083333,0.058824,-0.011184,,,,,,,,,,,,,,,,,,,,,
7025,2222,138,138,0.423358,0.401460,0.000000,0.000000,0.000000,0.000000,0.333333,0.035714,0.333333,0.043478,0.006453,,,,,,,,,,,,,,,,,,,,,
2222,8200,497,497,0.481855,0.741935,0.000000,0.000000,0.000000,0.000000,0.029412,0.012195,0.031250,0.011111,"6.896216005711103E-5",,,,,,,,,,,,,,,,,,,,,
9177,2222,605,605,0.514901,0.516556,0.000000,0.000000,0.000000,0.000000,0.250000,0.006757,0.200000,0.006536,-0.002291,,,,,,,,,,,,,,,,,,,,,
2222,5396,530,530,0.483932,0.039698,0.000000,0.000000,0.000000,0.000000,0.007813,0.125000,0.008696,0.200000,-0.002161,,,,,,,,,,,,,,,,,,,,,
2222,1194,421,421,0.480952,0.390476,0.000000,0.000000,0.000000,0.000000,0.016667,0.025641,0.015385,0.026316,0.010265,,,,,,,,,,,,,,,,,,,,,
2222,8608,1270,1270,0.489362,0.558708,0.000000,0.000000,0.000000,0.000000,0.006173,0.006410,0.007576,0.005882,0.005765,,,,,,,,,,,,,,,,,,,,,
7812,2222,424,424,0.056738,0.508274,0.000000,0.000000,0.000000,0.000000,0.071429,0.125000,"NaN",1.000000,-0.007494,,,,,,,,,,,,,,,,,,,,,
2476,2222,517,517,0.519380,0.500000,0.000000,0.000000,0.000000,0.000000,0.100000,0.008929,0.066667,0.007692,0.012130,,,,,,,,,,,,,,,,,,,,,
2222,6780,646,645,0.508527,0.057364,0.000000,0.000000,0.000000,0.000000,0.006623,0.200000,0.006410,0.066667,0.009634,,,,,,,,,,,,,,,,,,,,,
2222,8650,904,904,0.497231,0.527132,0.000000,0.000000,0.000000,0.000000,0.009259,0.008130,0.010101,0.008403,-0.003788,,,,,,,,,,,,,,,,,,,,,
2222,8582,842,842,0.501784,0.436385,0.000000,0.000000,0.000000,0.000000,0.008621,0.010101,0.008621,0.011111,-0.007058,,,,,,,,,,,,,,,,,,,,,
2222,9008,906,906,0.462983,0.471823,0.000000,0.000000,0.000000,0.000000,0.009259,0.008621,0.009259,0.011494,-0.012680,,,,,,,,,,,,,,,,,,,,,
2222,1365,186,186,0.454054,0.454054,0.000000,0.000000,0.000000,0.000000,0.034483,0.076923,0.041667,0.055556,0.011160,,,,,,,,,,,,,,,,,,,,,
4400,2222,477,477,0.451681,0.464286,0.000000,0.000000,0.000000,0.000000,1.000000,0.008197,0.333333,0.011364,-0.018093,,,,,,,,,,,,,,,,,,,,,
9784,2222,9,10,0.250000,0.250000,0.000000,"NaN",0.000000,0.000000,1.000000,1.000000,"NaN","NaN",0.069444,,,,,,,,,,,,,,,,,,,,,
2222,1378,651,651,0.523077,0.527692,0.000000,0.000000,0.000000,0.000000,0.012658,0.011765,0.012500,0.010526,"-2.1505376344086875E-4",,,,,,,,,,,,,,,,,,,,,
7334,2222,2424,2424,0.588527,0.498143,0.000000,0.000000,0.000000,0.000000,0.008264,0.002128,0.003390,0.001852,-0.002913,,,,,,,,,,,,,,,,,,,,,
2222,1513,1452,1452,0.525155,0.495520,0.000000,0.000000,0.000000,0.000000,0.005952,0.005780,0.004525,0.005025,-0.007806,,,,,,,,,,,,,,,,,,,,,
2222,4678,468,468,0.496788,0.520343,0.000000,0.000000,0.000000,0.000000,0.018182,0.016129,0.020408,0.015152,"-9.883050568275363E-4",,,,,,,,,,,,,,,,,,,,,
2222,1281,128,128,0.472441,0.598425,0.000000,0.000000,0.000000,0.000000,0.090909,0.050000,0.076923,0.062500,0.018701,,,,,,,,,,,,,,,,,,,,,
7558,2222,59,59,0.500000,0.448276,0.000000,0.000000,0.000000,"NaN",1.000000,0.090909,0.500000,0.071429,0.021040,,,,,,,,,,,,,,,,,,,,,
4100,2222,264,265,0.551331,0.463878,0.000000,0.000000,0.000000,0.000000,0.026316,0.050000,0.043478,0.015625,0.098831,,,,,,,,,,,,,,,,,,,,,
2222,7170,11,11,0.500000,0.900000,"NaN",0.000000,0.000000,0.000000,"NaN",0.250000,"NaN","NaN",-0.009091,,,,,,,,,,,,,,,,,,,,,
8655,2222,899,899,0.520045,0.514477,0.000000,0.000000,0.000000,0.000000,0.125000,0.004808,0.166667,0.004098,0.008916,,,,,,,,,,,,,,,,,,,,,
4166,2222,1897,1897,0.501055,0.499473,0.000000,0.000000,0.000000,0.000000,0.071429,0.002222,0.058824,0.002137,0.004088,,,,,,,,,,,,,,,,,,,,,
5209,2222,807,807,0.039702,0.509926,0.000000,0.000000,0.000000,0.000000,0.083333,0.071429,0.333333,0.500000,-0.002850,,,,,,,,,,,,,,,,,,,,,
9992,2222,309,309,0.477273,0.496753,0.000000,0.000000,0.000000,0.000000,"NaN",0.012346,0.500000,0.015873,-0.018787,,,,,,,,,,,,,,,,,,,,,
5983,2222,1013,1013,0.474308,0.479249,0.000000,0.000000,0.000000,0.000000,0.090909,0.004255,0.200000,0.004386,0.008090,,,,,,,,,,,,,,,,,,,,,
2222,4205,578,578,0.488735,0.492201,0.000000,0.000000,0.000000,0.000000,0.013514,0.015625,0.015625,0.012500,0.009427,,,,,,,,,,,,,,,,,,,,,
2222,4231,1022,1022,0.501469,0.504407,0.000000,0.000000,0.000000,0.000000,0.008000,0.008547,0.007463,0.007353,0.006852,,,,,,,,,,,,,,,,,,,,,
2222,4379,715,715,0.519608,0.029412,0.000000,0.000000,0.000000,0.000000,0.005780,0.142857,0.005348,0.333333,-0.005457,,,,,,,,,,,,,,,,,,,,,
2222,6699,1797,1797,0.503341,0.543987,0.000000,0.000000,0.000000,0.000000,0.004739,0.004219,0.004566,0.004237,"2.8381873773784697E-4",,,,,,,,,,,,,,,,,,,,,
2222,7373,901,901,0.485556,0.625556,0.000000,0.000000,0.000000,0.000000,0.013699,0.007353,0.013514,0.006536,0.001040,,,,,,,,,,,,,,,,,,,,,
2222,7389,1157,1157,0.514706,0.514706,0.000000,0.000000,0.000000,0.000000,0.007194,0.007246,0.006173,0.006452,0.005203,,,,,,,,,,,,,,,,,,,,,
2222,7506,1280,1280,0.503518,0.037529,0.000000,0.000000,0.000000,0.000000,0.003115,0.200000,0.003289,0.076923,"-1.1727912431586939E-4",,,,,,,,,,,,,,,,,,,,,
2222,8322,713,713,0.533708,0.689607,0.000000,0.000000,0.000000,0.000000,0.019231,0.007874,0.015625,0.007353,-0.002364,,,,,,,,,,,,,,,,,,,,,
2676,3333,1569,1569,0.029337,0.030612,0.000000,0.000000,0.000000,"NaN",0.024390,"NaN",0.250000,"NaN","-8.974909275373649E-4",,,,,,,,,,,,,,,,,,,,,
4035,3333,1177,1177,0.350340,0.025510,0.000000,0.000000,0.000000,0.000000,0.003891,0.166667,0.006849,0.500000,"-4.262537640374757E-4",,,,,,,,,,,,,,,,,,,,,
6152,3333,280,280,0.039427,0.025090,0.000000,0.000000,0.000000,"NaN",0.250000,0.166667,"NaN","NaN","-9.856630824372759E-4",,,,,,,,,,,,,,,,,,,,,
6612,3333,925,925,0.073593,0.038961,0.000000,"NaN",0.000000,"NaN",0.037037,0.028571,0.250000,1.000000,-0.001782,,,,,,,,,,,,,,,,,,,,,
